,availability_30,availability_60,availability_90,availability_365
1361,0,0,0,0
1365,0,0,0,0
1366,0,0,26,301
1367,0,20,50,325
1368,0,28,57,57
1371,16,46,76,350
1372,2,32,62,152
1375,0,0,0,0
1377,4,34,64,339
1378,10,40,70,345
1379,0,0,0,0
1384,7,37,67,342
1387,3,3,3,150
1390,0,0,0,0
1391,0,0,0,0
1393,0,0,0,0
1397,0,0,0,0
1399,0,0,0,0
1401,0,0,0,0
1402,30,60,90,179
1406,11,41,41,41
1407,0,17,47,322
1408,14,17,47,50
1413,29,59,88,88
1415,0,0,0,0
1421,0,0,0,186
1424,1,31,61,336
1425,0,0,0,0
1426,0,21,51,105
1429,0,0,0,0
1433,0,0,0,0
1440,30,60,90,365
1444,0,0,0,0
1449,18,48,78,353
1450,29,59,89,364
1455,0,0,0,0
1457,0,0,0,0
1458,17,17,17,17
1460,0,0,0,0
1466,0,0,0,0
1468,0,0,0,0
1469,30,60,90,179
1470,23,53,83,358
1471,0,0,0,0
1474,0,0,0,0
1475,0,0,0,0
1476,0,23,53,328
1480,0,0,0,0
1483,0,0,0,217
1485,0,0,0,0
1487,0,28,58,333
1488,0,0,0,0
1494,0,0,0,0
1495,0,0,0,0
1497,0,0,0,0
1498,0,0,0,0
1501,9,37,67,342
1502,1,31,61,336
1504,0,0,0,0
1505,0,0,0,0
1506,13,43,73,348
1512,0,0,4,279
1515,0,0,0,0
1516,0,0,0,0
1517,0,27,57,332
1518,0,0,0,0
1522,30,60,90,365
1524,0,0,0,0
1529,0,0,0,0
1531,0,0,0,0
1533,30,60,89,89
1537,0,0,0,0
1543,0,0,0,0
1546,5,35,65,340
1548,0,0,0,0
1549,30,60,90,365
1551,0,0,0,0
1552,0,0,0,0
1553,23,52,82,357
1555,30,60,90,365
1557,0,19,48,48
1558,0,0,0,0
1559,0,0,0,0
1565,10,40,70,345
1567,0,0,0,0
1569,0,0,0,0
1571,1,3,33,308
1574,6,10,24,130
1575,0,0,0,0
1577,0,0,0,0
1578,0,0,0,0
1581,30,60,90,365
1582,0,0,0,0
1587,0,0,0,199
1589,4,34,64,64
1592,0,0,0,0
1594,0,0,0,0
1595,0,0,0,0
1596,0,0,0,0
1597,0,0,0,0
1598,0,0,0,126
1600,1,16,42,132
1605,0,0,0,0
1610,17,31,31,31
1614,27,57,87,87
1616,0,0,0,0
1620,0,0,0,0
1621,0,0,0,0
1624,0,0,0,0
1625,0,4,34,309
1626,0,0,0,0
1628,23,53,83,263
1631,0,0,0,0
1632,0,0,0,0
1634,0,0,0,0
1635,28,58,88,363
1637,0,0,0,0
1638,27,57,87,87
1647,0,0,20,295
1648,0,0,0,0
1653,0,0,0,0
1656,0,0,0,0
1657,0,0,0,0
1659,30,60,90,365
1660,0,0,0,0
1662,0,0,0,0
1663,0,0,0,75
1665,8,38,68,343
1668,0,0,0,0
1673,0,3,33,308
1674,0,0,0,0
1676,0,0,0,181
1681,0,0,0,0
1682,0,0,0,0
1684,0,0,0,0
1685,0,0,0,0
1686,0,0,0,0
1687,0,0,0,0
1689,0,0,0,0
1691,3,8,14,14
1692,0,0,0,0
1693,0,0,0,0
1694,0,0,0,0
1697,0,0,0,0
1698,3,30,30,305
1704,3,31,31,157
1705,0,0,0,0
1710,0,0,0,0
1712,0,0,0,0
1713,5,34,57,274
1714,0,0,0,0
1715,0,0,0,0
1716,0,0,0,0
1717,0,0,0,0
1718,0,0,0,0
1719,17,28,28,58
1720,0,0,0,0
1721,0,0,0,0
1722,0,0,0,0
1725,0,0,0,0
1726,0,0,0,0
1727,0,0,0,0
1728,0,0,0,0
1732,0,0,0,0
1734,0,0,0,0
1737,0,0,0,0
1738,0,0,0,0
1739,0,0,0,0
1740,4,34,64,339
1741,0,0,0,0
1742,0,0,0,0
1744,0,0,0,0
1745,0,0,0,0
1747,0,0,0,0
1748,0,0,0,0
1750,0,0,0,0
1753,0,0,0,0
1754,0,0,0,0
1757,15,45,75,350
1760,0,0,0,0
1764,0,2,6,77
1768,0,0,0,0
1769,0,0,0,0
1770,0,0,0,0
1771,0,0,0,0
1774,0,0,0,0
1775,0,0,0,0
1777,0,0,0,0
1782,0,0,0,0
1783,0,0,0,0
1784,0,0,0,0
1785,0,0,0,0
1786,0,0,0,0
1787,0,0,0,0
1788,0,0,0,0
1789,0,0,0,0
1793,0,0,0,0
1795,0,0,0,0
1797,0,0,0,0
1800,0,0,0,0
1801,0,0,0,0
1802,0,0,0,0
1803,0,0,0,0
1804,0,0,0,0
1806,0,0,0,0
1807,0,0,0,0
1809,0,0,0,0
1813,0,0,0,0
1817,0,0,0,0
1819,0,0,0,0
1822,0,0,0,0
1823,0,0,0,0
1824,0,0,0,0
1825,0,0,0,0
1827,0,0,0,0
1830,0,0,0,0
1832,0,0,0,217
1833,0,0,0,0
1834,0,0,0,0
1835,0,0,0,0
1836,23,53,83,358
1837,4,17,45,45
1839,0,0,0,0
1845,0,0,0,0
1848,0,0,0,0
1851,0,0,0,0
1852,5,5,23,44
1855,0,0,0,0
1856,30,60,90,365
1857,0,0,0,0
1860,0,0,0,0
1863,30,60,90,365
1864,29,59,89,89
1865,29,59,89,364
1870,0,0,0,0
1871,0,0,0,0
1873,0,0,0,0
1874,0,0,0,0
1875,0,0,0,0
1876,0,0,0,0
1877,0,0,0,0
1879,0,0,0,0
1880,0,0,0,0
1881,0,0,0,0
1882,0,0,0,0
1883,0,0,0,0
1884,0,0,0,0
1888,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,3,33,63,90
1894,0,0,0,0
1895,0,0,0,64
1897,0,0,0,0
1898,0,0,0,247
1900,0,0,0,0
1901,30,60,90,365
1902,30,60,90,365
1904,0,0,0,0
1907,30,60,90,365
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1914,0,0,0,0
1916,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1930,0,0,0,0
1935,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,8,38,68,329
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,2,32,62,62
1945,0,0,0,0
1949,0,0,0,0
1951,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,6,36,36
1960,0,0,0,0
1964,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,30,60,90,365
1981,0,0,0,0
1982,0,0,0,0
1990,0,0,0,0
1994,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,7,30,60,178
1999,0,0,0,0
2004,0,0,0,240
2005,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2014,0,0,0,0
2015,13,29,29,191
2016,0,0,0,0
2017,7,37,67,264
2018,0,0,0,0
2020,29,59,89,364
2021,0,0,0,0
2022,3,10,19,54
2023,29,59,89,364
2024,0,0,0,0
2026,29,59,89,179
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,1,1,1,1
2034,0,0,0,0
2041,0,0,0,0
2042,0,0,0,0
2044,0,0,0,0
2048,3,33,63,63
2049,30,60,90,365
2052,0,0,0,0
2053,0,0,0,0
2054,8,10,10,272
2057,0,0,0,0
2067,0,0,0,0
2069,0,0,0,0
2070,1,1,1,249
2071,8,32,59,334
2072,0,0,0,0
2073,0,0,0,0
2074,3,3,3,5
2077,0,0,0,0
2078,0,18,18,287
2080,0,0,0,0
2082,0,0,0,0
2083,0,0,0,0
2084,10,40,70,345
2086,0,0,0,0
2087,0,0,0,0
2088,0,0,0,0
2090,0,0,0,89
2092,0,0,0,0
2095,28,58,88,363
2098,0,0,0,0
2099,0,0,0,0
2100,0,0,0,0
2101,0,0,0,0
2102,0,0,0,0
2110,0,0,0,0
2116,14,44,74,349
2117,0,0,0,0
2119,0,0,0,0
2124,0,0,0,0
2126,0,0,0,218
2127,0,0,0,0
2131,0,3,13,274
2135,0,0,0,0
2138,0,0,0,0
2139,0,0,0,0
2143,0,0,0,0
2144,3,6,36,311
2146,0,0,0,0
2148,0,0,0,0
2152,0,0,0,0
2157,0,0,0,0
2158,0,0,0,0
2161,30,60,90,365
2164,0,0,0,0
2165,0,3,3,212
2166,0,0,0,0
2167,0,0,0,0
2168,13,31,61,222
2171,11,41,71,346
2172,0,0,0,0
2173,0,0,0,0
2176,21,24,54,329
2177,0,0,0,0
2178,0,0,0,0
2179,30,60,90,365
2183,30,60,90,365
2187,0,0,0,0
2189,2,32,62,62
2190,8,38,51,270
2191,0,0,0,158
2197,0,0,0,0
2198,0,0,0,246
2199,0,0,0,0
2200,0,0,0,0
2201,0,0,0,0
2203,0,0,0,0
2204,0,0,0,0
2208,30,60,90,365
2210,0,0,0,0
2212,0,0,0,0
2214,0,0,0,0
2215,0,0,0,0
2217,0,0,0,0
2219,0,1,31,31
2221,30,60,90,365
2223,0,0,0,0
2225,0,0,0,0
2229,0,0,0,0
2231,0,0,0,0
2233,0,0,0,0
2235,0,0,0,0
2238,0,0,0,0
2242,0,0,0,0
2243,0,0,0,0
2244,0,0,0,0
2246,0,0,0,0
2252,0,0,0,0
2254,0,0,0,0
2255,0,0,0,0
2256,0,0,0,0
2258,2,14,44,319
2259,0,0,0,0
2260,0,0,0,0
2261,0,0,0,0
2264,0,0,0,186
2265,18,48,78,353
2267,0,0,0,0
2272,18,46,76,351
2273,0,0,0,0
2277,2,15,23,209
2278,0,0,0,0
2279,0,0,0,0
2280,0,2,7,110
2282,0,0,0,0
2283,0,0,0,0
2290,0,0,0,0
2292,0,0,0,0
2294,11,41,70,70
2295,0,0,0,0
2296,0,0,0,0
2299,0,0,0,0
2302,30,60,90,365
2305,0,0,0,0
2306,0,0,0,0
2313,1,23,47,207
2314,0,0,0,0
2315,27,57,87,362
2316,11,41,71,160
2318,0,0,0,0
2323,9,26,56,331
2324,0,2,32,122
2326,0,0,0,0
2327,0,0,0,0
2328,4,34,64,339
2329,0,0,0,0
2330,0,0,0,0
2331,0,0,0,0
2332,0,0,0,0
2333,0,0,0,0
2334,1,28,58,148
2339,0,0,0,0
2342,0,0,0,218
2343,0,0,0,0
2345,0,12,42,317
2346,0,0,0,0
2347,0,0,0,0
2348,5,27,57,302
2349,0,0,0,0
2350,0,0,0,0
2351,17,47,77,352
2352,0,0,0,0
2354,0,0,0,0
2356,0,0,0,0
2360,0,0,0,0
2362,0,0,0,0
2363,0,0,0,0
2367,0,0,0,0
2371,0,0,0,0
2373,30,60,90,365
2375,0,0,0,0
2376,2,5,34,214
2377,0,0,0,0
2379,13,43,73,337
2381,0,18,48,167
2382,0,0,0,0
2386,0,0,0,0
2387,13,43,73,348
2388,0,0,0,0
2389,0,28,58,333
2390,0,0,0,0
2394,0,0,0,0
2396,16,21,21,21
2397,0,0,0,0
2398,0,0,0,0
2399,0,0,0,0
2400,2,30,56,56
2401,30,60,87,87
2404,0,0,0,0
2405,0,0,0,0
2407,0,0,0,0
2408,0,0,11,19
2410,0,0,0,0
2412,0,0,0,0
2413,25,50,76,351
2415,25,50,75,350
2425,0,0,0,0
2426,0,0,7,268
2427,0,0,0,0
2428,23,53,83,358
2429,0,0,0,0
2431,0,0,0,0
2432,30,60,90,365
2433,0,0,0,0
2434,0,0,0,0
2435,0,0,0,0
2437,0,0,0,0
2438,10,40,70,345
2439,0,0,0,0
2444,0,0,0,0
2446,0,0,0,0
2447,29,59,89,364
2448,0,0,0,0
2452,0,0,0,0
2454,0,0,0,0
2456,0,0,0,0
2459,0,0,0,0
2461,0,0,0,0
2464,0,0,0,0
2468,0,0,0,0
2471,0,0,0,0
2472,0,0,0,0
2475,0,16,46,317
2477,0,0,0,0
2478,0,0,0,247
2484,0,0,0,0
2485,0,0,0,0
2488,0,0,0,0
2490,0,0,0,0
2492,15,42,72,347
2495,0,0,0,0
2498,24,54,84,359
2500,30,60,90,365
2506,0,0,0,0
2515,0,0,0,0
2516,2,16,46,321
2519,0,17,47,137
2523,0,0,0,0
2527,10,40,70,345
2529,0,0,0,0
2531,0,0,0,0
2533,0,0,0,0
2535,0,0,0,0
2536,0,0,0,0
2543,0,0,0,118
2544,0,0,0,0
2545,0,0,0,0
2546,30,60,87,181
2549,0,0,0,0
2551,0,0,0,0
2556,11,38,57,332
2558,0,0,0,0
2559,5,32,59,334
2563,0,30,59,59
2564,19,49,79,354
2569,0,0,0,0
2572,0,0,0,0
2573,0,0,0,0
2574,27,54,83,358
2576,0,0,0,0
2577,0,0,0,0
2578,0,0,0,0
2579,0,0,0,0
2580,0,0,0,0
2581,2,14,44,318
2583,0,0,0,0
2584,30,60,89,89
2587,0,0,0,0
2596,0,0,0,0
2597,0,0,0,0
2599,0,0,0,0
2601,0,0,0,0
2602,0,0,0,0
2610,4,34,64,339
2612,3,33,63,63
2614,0,0,0,0
2616,0,0,0,0
2617,4,34,64,338
2619,0,0,0,0
2621,3,33,63,338
2622,20,50,80,355
2624,12,42,72,335
2626,0,0,0,138
2628,0,0,0,0
2631,0,0,0,0
2636,0,0,0,0
2637,0,0,0,0
2639,0,0,0,0
2646,0,0,0,0
2648,0,0,0,0
2649,0,17,30,210
2650,29,59,88,88
2651,0,0,0,0
2656,0,0,0,0
2658,0,0,0,218
2659,0,0,0,0
2660,0,0,0,0
2664,29,59,89,364
2665,0,0,0,0
2666,30,60,90,365
2668,0,0,0,0
2669,0,0,0,0
2672,0,0,0,0
2673,0,0,0,0
2675,0,0,0,0
2677,0,0,0,0
2679,0,0,0,0
2681,0,0,0,0
2682,0,0,0,0
2687,0,0,0,247
2689,0,0,0,0
2692,0,0,0,0
2693,0,0,0,0
2697,2,26,56,56
2698,0,0,0,0
2699,28,58,88,88
2703,0,0,0,0
2704,30,60,90,365
2707,5,27,57,332
2711,0,0,0,0
2712,0,0,0,0
2716,0,0,0,0
2718,0,0,0,0
2722,0,0,0,0
2723,0,0,0,0
2724,0,0,0,0
2731,0,0,0,0
2732,30,60,90,365
2734,0,0,0,0
2736,0,0,0,0
2740,0,0,0,0
2741,0,0,0,0
2742,0,0,0,0
2747,0,0,0,0
2748,1,1,6,124
2749,1,26,29,29
2750,3,12,12,218
2752,0,0,0,0
2753,0,0,0,0
2756,0,0,0,0
2759,0,0,0,0
2761,0,0,0,0
2763,0,0,0,0
2765,0,0,0,0
2770,0,0,0,0
2772,0,0,0,0
2774,0,0,0,188
2779,0,0,0,0
2780,0,0,0,0
2786,0,0,4,28
2788,0,0,0,0
2789,0,0,0,0
2792,0,0,0,62
2793,0,0,0,0
2796,0,0,0,0
2798,0,0,0,0
2800,0,0,0,0
2804,0,0,0,0
2805,0,0,0,0
2809,0,0,0,0
2814,0,0,0,0
2815,0,0,0,0
2816,0,0,0,0
2817,0,0,0,0
2818,0,0,0,0
2822,0,0,0,0
2823,26,56,86,361
2824,0,0,0,0
2826,0,0,0,0
2827,2,32,62,62
2828,0,28,58,333
2830,0,0,0,0
2832,0,0,0,0
2833,30,60,90,365
2835,0,0,0,0
2838,7,7,7,171
2839,0,0,0,0
2840,15,45,75,165
2842,30,60,90,269
2846,0,0,0,0
2847,0,0,0,0
2848,0,0,0,0
2849,0,0,0,0
2851,0,0,0,0
2852,0,0,0,0
2853,0,0,0,0
2854,0,0,0,0
2855,0,0,0,0
2860,0,0,0,0
2862,22,29,59,334
2863,0,0,0,0
2868,0,1,4,4
2869,28,58,88,363
2871,0,0,0,0
2874,0,0,0,0
2880,7,7,21,83
2882,0,0,0,0
2883,0,0,0,0
2887,0,0,0,0
2888,29,59,89,364
2891,3,3,3,180
2892,0,0,0,0
2893,0,0,0,0
2894,0,0,0,0
2898,3,33,63,338
2902,0,0,0,0
2904,0,0,0,0
2907,0,0,0,0
2908,0,10,39,39
2909,0,0,0,0
2910,0,0,0,0
2911,0,0,0,0
2912,13,43,73,344
2913,0,0,0,0
2916,1,11,11,154
2921,30,60,90,365
2923,6,34,64,339
2925,0,0,0,0
2926,0,0,0,0
2927,0,0,0,0
2930,0,0,0,0
2931,9,38,56,56
2932,0,0,0,0
2933,0,0,0,0
2935,12,42,72,347
2936,0,0,0,0
2937,0,0,0,0
2938,24,54,84,111
2941,0,0,0,0
2942,0,0,0,0
2944,3,33,63,338
2945,0,0,0,0
2949,0,0,0,0
2950,0,0,0,0
2952,0,0,0,0
2953,0,0,0,0
2954,0,0,0,0
2955,0,0,0,0
2956,0,0,0,0
2957,0,0,0,0
2958,0,0,0,0
2962,0,0,0,0
2963,0,0,0,0
2964,0,0,0,0
2965,26,50,80,355
2966,0,0,0,0
2968,0,0,0,0
2969,0,0,0,0
2972,0,0,13,45
2974,7,13,43,318
2975,0,0,0,0
2976,21,51,81,356
2978,0,0,0,0
2979,0,0,0,0
2980,0,23,53,328
2981,0,0,0,0
2982,0,0,0,0
2983,0,0,0,0
2985,0,0,0,0
2988,0,0,0,0
2989,7,12,25,300
2992,0,0,0,0
2993,0,0,0,0
2994,0,0,0,0
2996,0,0,0,0
2999,0,0,0,0
3001,0,0,0,0
3002,0,0,0,0
3003,0,0,0,0
3004,30,60,90,365
3006,0,0,0,0
3010,0,0,0,0
3012,0,0,0,0
3014,0,0,0,0
3015,0,0,0,0
3016,0,0,0,0
3017,0,0,0,0
3019,0,30,60,335
3020,13,13,13,181
3021,27,57,87,362
3022,0,0,0,0
3026,0,0,0,0
3028,0,0,0,0
3029,7,12,42,317
3031,0,0,0,0
3032,0,0,0,0
3033,0,0,0,0
3034,0,0,0,0
3037,0,0,0,0
3038,0,0,0,126
3039,2,32,62,337
3040,0,0,0,0
3045,0,0,0,0
3046,0,0,0,0
3052,0,0,0,0
3057,0,0,0,0
3058,0,0,0,0
3059,0,0,0,0
3063,0,0,0,0
3064,0,0,0,0
3065,14,18,18,215
3071,0,0,0,0
3073,0,0,0,0
3075,2,32,62,337
3078,0,9,39,157
3081,0,0,0,0
3082,0,0,0,0
3083,0,0,0,0
3084,0,0,0,0
3086,30,60,89,89
3087,0,0,0,0
3089,0,0,0,0
3090,0,18,48,138
3095,0,0,0,0
3096,0,0,0,0
3098,0,0,0,0
3100,0,0,0,0
3103,0,0,0,0
3104,0,0,0,0
3106,0,0,0,0
3107,0,0,0,0
3108,0,0,0,0
3112,0,0,0,0
3114,2,2,2,94
3117,3,18,48,138
3118,0,0,0,0
3119,0,0,0,0
3122,0,0,0,0
3124,0,0,0,0
3128,0,0,0,0
3130,0,0,0,0
3131,0,0,0,0
3132,0,0,0,0
3133,0,0,0,0
3134,0,0,0,0
3135,0,0,0,0
3136,0,0,0,0
3138,0,0,0,0
3139,0,0,0,0
3140,0,0,0,0
