host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_home,property_type_Entire_condo,property_type_Entire_home,bathrooms_shared,bathrooms_private,bathrooms_num,amenities_Air_conditioning,amenities_Bed_linens,amenities_Carbon_monoxide_alarm,amenities_Cooking_basics,amenities_Dedicated_workspace,amenities_Dishes_and_silverware,amenities_Essentials,amenities_Fire_extinguisher,amenities_First_aid_kit,amenities_Free_street_parking,amenities_Hair_dryer,amenities_Hangers,amenities_Heating,amenities_Hot_water,amenities_Iron,amenities_Kitchen,amenities_Long_term_stays_allowed,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Self_check-in,amenities_Shampoo,amenities_Smoke_alarm,amenities_TV,amenities_Wifi,log_price
2637,1,100.0,100.0,1,2,2,1,1,40.64123,-73.88868,1,1.0,1.0,7,365,1,0,2,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1.0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,3.970291913552122
582,12,100.0,100.0,1,1,1,1,1,40.66005,-73.95834,4,1.0,2.0,4,365,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5.0106352940962555
2580,1,100.0,99.0,0,4,6,1,1,40.7911,-73.94031,2,1.0,1.0,3,28,1,0,4,4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,5.293304824724492
3220,1,100.0,98.0,1,2,2,1,1,40.83023,-73.9421,4,2.0,2.0,3,1125,1,1,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.814130531825066
394,12,100.0,82.0,1,2,2,1,1,40.8015,-73.93711,2,1.0,1.0,3,100,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,4.770684624465665
1702,12,100.0,77.0,1,1,1,1,1,40.69249,-73.96755,6,1.0,3.0,2,365,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,5.41610040220442
2269,12,100.0,97.0,1,7,7,1,1,40.55922,-74.11809,6,2.0,3.0,2,1125,1,0,7,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5.204006687076795
2564,1,96.0,97.0,0,8,11,1,1,40.686,-73.93974,2,1.0,1.0,2,90,1,1,6,2,4,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.394449154672439
1408,1,100.0,100.0,0,4,5,1,1,40.6641821,-73.9129914,2,1.0,1.0,4,28,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,4.867534450455582
367,1,100.0,100.0,0,1,3,1,1,40.819,-73.95577,2,1.0,1.0,1,1125,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,5.594711379601839
2226,1,100.0,97.0,1,3,6,1,0,40.64895,-73.9549,4,2.0,2.0,2,26,1,0,3,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,5.424950017481403
3103,1,95.0,93.0,0,24,31,1,1,40.76178,-73.99151,2,1.0,1.0,1,1125,1,0,18,4,12,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,5.655991810819852
2579,1,100.0,81.0,1,3,5,1,1,40.62202,-73.95375,2,1.0,1.0,3,1125,1,0,3,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,4.330733340286331
3084,1,100.0,96.0,0,1,1,1,1,40.67768,-73.96605,4,3.0,6.0,30,30,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,5.135798437050262
1668,1,100.0,99.0,1,2,4,1,0,40.67941,-73.8908,4,1.0,3.0,1,365,1,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.90527477843843
1645,1,100.0,96.0,0,8,8,1,1,40.63851,-74.00231,2,1.0,1.0,30,1125,0,0,8,0,8,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,3.6888794541139363
2813,1,100.0,0.0,0,1,3,1,1,40.77255,-73.9789,1,1.0,2.0,3,30,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.248495242049359
1735,12,100.0,100.0,0,6,7,1,1,40.68355,-73.91944,7,3.0,3.0,2,1125,1,0,5,5,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5.521460917862246
64,1,100.0,100.0,0,1,1,1,0,40.7456857,-73.99110069999999,8,3.0,6.0,1,1125,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,6.20050917404269
1805,1,100.0,96.0,0,2,2,1,1,40.69541,-73.93378,1,3.0,1.0,4,200,1,1,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2.0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,3.6635616461296463
