,availability_30,availability_60,availability_90,availability_365
819,16,43,73,348
820,0,28,48,48
821,30,60,90,365
822,3,33,63,338
823,30,60,90,365
824,0,0,0,0
826,4,12,12,188
827,6,7,28,28
828,30,60,90,365
829,4,20,20,148
830,0,0,0,0
831,15,42,72,158
833,0,1,31,31
835,3,3,3,271
836,0,0,0,0
838,0,0,0,0
841,0,0,0,0
843,6,33,63,310
844,30,60,86,86
846,29,59,89,179
848,19,49,79,168
849,18,48,78,353
850,21,51,81,170
851,9,39,69,344
852,14,15,15,68
853,0,11,11,138
854,25,55,85,174
855,26,53,83,358
856,0,0,0,0
857,0,0,0,158
862,0,0,0,0
863,11,40,70,345
866,13,43,73,163
867,12,42,72,347
868,10,15,30,257
873,0,0,0,0
874,1,1,1,1
877,5,34,64,244
878,6,24,24,24
879,24,54,84,264
880,0,0,0,0
881,0,0,0,0
882,0,0,0,0
885,16,46,76,256
886,0,0,0,0
887,0,0,0,0
890,0,29,59,334
891,0,0,0,0
893,6,8,37,37
894,0,19,49,324
895,0,0,0,0
898,13,43,73,162
899,7,30,51,251
901,0,0,3,220
904,0,0,0,0
907,0,0,0,0
911,0,0,0,0
912,0,0,0,88
913,16,16,16,16
914,27,57,87,362
915,0,23,53,328
916,0,0,0,0
917,0,0,0,0
918,9,9,9,69
919,15,45,75,132
920,28,58,88,363
921,1,8,26,69
922,0,0,0,0
923,4,11,19,19
924,8,38,68,157
925,2,6,21,39
927,11,13,13,13
929,12,42,72,347
930,16,45,45,45
932,0,0,0,0
934,0,0,0,0
936,10,33,50,198
938,0,0,0,0
939,11,11,11,64
940,0,0,0,0
941,0,0,0,0
942,3,23,53,328
946,28,58,88,268
950,6,9,9,97
951,6,20,36,210
952,10,10,10,174
953,7,37,66,66
955,27,51,78,353
956,0,0,0,0
957,25,55,85,275
958,0,0,0,0
959,11,13,43,318
960,20,50,80,355
961,11,39,69,344
962,0,0,0,0
963,14,44,74,74
964,0,0,0,0
965,19,20,49,246
966,0,0,0,0
967,0,2,32,32
968,12,35,65,340
969,14,44,69,96
970,4,22,22,152
971,0,0,0,127
973,0,0,0,0
974,10,40,70,241
975,3,10,16,128
976,5,8,26,115
978,14,44,74,159
979,0,10,10,193
984,30,60,90,365
985,0,0,0,64
986,27,57,87,362
987,1,1,1,1
988,0,2,32,307
989,18,21,21,24
992,0,0,0,0
994,0,0,0,157
995,16,46,76,346
996,0,0,0,0
997,0,0,0,0
998,4,4,6,76
1000,0,0,0,0
1001,2,28,58,148
1002,0,0,0,0
1004,0,28,53,125
1006,7,37,66,66
1007,6,36,66,341
1008,2,32,62,337
